826,655,88
611,227,928
710,758,411
464,961,669
82,812,917
344,515,280
815,426,49
300,560,618
729,690,470
660,454,807
418,560,875
947,860,402
338,341,601
491,360,318
648,314,899
31,54,800
353,323,88
59,322,342
596,783,423
177,574,560
904,583,841
9,857,817
525,39,949
951,153,675
758,623,508
926,711,906
890,869,262
723,204,517
64,723,187
681,523,244
250,764,436
121,996,489
800,574,291
128,359,105
497,323,135
810,885,669
931,894,500
182,467,363
724,735,148
643,45,803
423,827,116
562,999,849
442,992,466
957,244,435
191,884,178
872,497,98
854,227,862
582,240,408
280,912,944
60,612,714
643,811,650
332,912,173
259,678,86
648,835,113
650,994,621
629,875,635
845,210,665
684,740,661
150,501,123
374,614,148
19,660,675
356,416,429
855,953,104
855,982,235
746,878,222
